Station,Lat,Lon,Divisions,Year,Count,Type
Keadue,54.0506,-8.1373,Roscommon/Longford,2003,5,Theft
Kealkil,51.755,-9.3753,Cork West,2003,4,Theft
Keel,53.9754,-10.0822,Mayo,2003,5,Theft
Kells Ceanannus Mor,53.7284,-6.8812,Meath,2003,99,Theft
Kenagh,53.622,-7.8151,Roscommon/Longford,2003,5,Theft
Kenmare,51.8785,-9.5816,Kerry,2003,21,Theft
Kerrykeel,55.1371,-7.6663,Donegal,2003,13,Theft
Kevin Street,53.339,-6.2702,D.M.R. South Central,2003,1231,Theft
Kilbeggan,53.3685,-7.4992,Westmeath,2003,35,Theft
Kilbrittain,51.6735,-8.6901,Cork West,2003,10,Theft
Kilcock,53.4038,-6.6725,Kildare,2003,53,Theft
Kilconnell,53.3314,-8.4017,Galway,2003,4,Theft
Kilcormac,53.1762,-7.7288,Laois/Offaly,2003,22,Theft
Kilcullen,53.1291,-6.7466,Kildare,2003,73,Theft
Kildare,53.156000000000006,-6.9073,Kildare,2003,128,Theft
Kildorrery,52.2454,-8.4296,Cork North,2003,8,Theft
Kildysart,52.6746,-9.1058,Clare,2003,6,Theft
Kilkee,52.6824,-9.6447,Clare,2003,25,Theft
Kilkelly,53.8734,-8.8434,Mayo,2003,7,Theft
Kilkenny,52.6524,-7.2597,Kilkenny/Carlow,2003,519,Theft
Kill Co Waterford,52.1773,-7.3351,Waterford,2003,14,Theft
Killala,54.2141,-9.2205,Mayo,2003,13,Theft
Killaloe,52.8067,-8.4437,Clare,2003,90,Theft
Killarney,52.0624,-9.5124,Kerry,2003,269,Theft
Killeagh,51.9398,-7.995,Cork North,2003,37,Theft
Killenaule,52.5685,-7.6728,Tipperary,2003,22,Theft
Killeshandra,54.0118,-7.5259,Cavan/Monaghan,2003,8,Theft
Killimor,53.1659,-8.2942,Galway,2003,6,Theft
Killorglin,52.1065,-9.7871,Kerry,2003,19,Theft
Killucan,53.5147,-7.1397,Westmeath,2003,15,Theft
Kilmacow,52.3146,-7.1748,Kilkenny/Carlow,2003,3,Theft
Kilmacrennan,55.0295,-7.7785,Donegal,2003,19,Theft
Kilmacthomas,52.2062,-7.4213,Waterford,2003,8,Theft
Kilmaine,53.5826,-9.1238,Mayo,2003,2,Theft
Kilmainham,53.3419,-6.3043,D.M.R. South Central,2003,758,Theft
Kilmallock,52.3984,-8.5758,Limerick,2003,23,Theft
Kilmeaden,52.2462,-7.245,Waterford,2003,12,Theft
