HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common_name,Adult_weight_grams,Maximum_longevity_yrs,Specimen_origin,Sample_size,Data_quality,Metabolic_rate_W
26,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,19.267,10,captivity,medium,acceptable,0.00698
2638,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,parvus,Great Basin pocket mouse,20.1,5.8,captivity,small,acceptable,0.16
2542,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ochrotomys,nuttalli,Golden mouse,22,8.4,captivity,small,acceptable,0.151
2621,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,fallax,San Diego pocket mouse,18.7,8.3,captivity,small,acceptable,0.15
847,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,trivialis,Tree pipit,23.4,8.8,wild,medium,acceptable,0.339
739,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia,albicollis,White-throated sparrow,21.1,14.9,wild,medium,acceptable,0.278
759,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,mexicanus,House finch,21.4,11.6,wild,medium,acceptable,0.3108
2547,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,crinitus,Canyon mouse,16.5,7.7,captivity,small,acceptable,0.162
2551,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus,Deer mouse,20.5,8.3,captivity,medium,acceptable,0.219
2116,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,macroura,Stripe-faced dunnart,20,4.9,captivity,small,acceptable,0.128
2844,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,brevicauda,Northern short-tailed shrew,21.6,2.2,captivity,small,acceptable,0.344
756,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,coelebs,Chaffinch,20.7,29,captivity,small,acceptable,0.373
757,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,montifringilla,Brambling,23.2,14.8,wild,medium,acceptable,0.383
