Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,Male,Female,Total,Sex,xcoord,ycoord,Long,Lat
11969N,CARRICKBEG N S,CARRICK ON SUIR,CO TIPPERARY,,,Waterford,CATHOLIC,N,N,N,59,41,100,Mixed,240685,120116,-7.40312,52.3313
18090D,S N CILL DAMHAIN,CILL DAMHAIN,INIS CORTHAIGH,CO LOCH GORMAN,,Carlow,CATHOLIC,N,N,N,52,47,99,Mixed,288933,160048,-6.68477,52.6844
15279I,CLOONEY N S,CLOONEY NS,TULLA,ENNIS,CO CLARE,Clare,CATHOLIC,N,N,N,52,47,99,Mixed,142037,180339,-8.86088,52.8709
19427R,S N BHREANNDAIN C,AN GHLEANN,CORCAIGH,,,Cork,CATHOLIC,N,Y,N,5,94,99,Mixed,168072,73169,-8.46401,51.9099
19342J,SCOIL NAOMH EOIN BAISTE,KILBRIN,KANTURK,CO CORK,,Cork,CATHOLIC,N,N,N,41,58,99,Mixed,143086,106830,-8.83271,52.2104
16836T,NAOMH BRIDHID,GLENMAKEE,CARNDONAGH,CO DONEGAL,,Donegal,CATHOLIC,N,Y,N,56,43,99,Mixed,243916,447328,-7.30901,55.2709
19252I,S N UMLACH,CARRIGART,CO DONEGAL,,,Donegal,CATHOLIC,N,Y,N,49,50,99,Mixed,212710,435874,-7.80053,55.1698
16177F,LINDSAY ROAD N S,LINDSAY ROAD,GLASNEVIN,DUBLIN 9,,Dublin,PRESBYTERIAN,N,N,N,53,46,99,Mixed,315563,236344,-6.2638,53.3647
14647G,DALKEY N S (2),DALKEY,CO DUBLIN,,,Dublin,CHURCH OF IRELAND,N,N,N,49,50,99,Mixed,326575,227347,-6.10204,53.2813
06209J,ATHY MODEL SCHOOL,DUBLIN ROAD,ATHY,CO. KILDARE,,Kildare,CHURCH OF IRELAND,N,N,N,45,54,99,Mixed,268972,194122,-6.97271,52.9934
17364J,SCOIL BAILE AN AIRD,BAILE AN AIRD,KILMALLOCK,CO LIMERICK,,Limerick,CATHOLIC,N,N,N,48,51,99,Mixed,168219,140642,-8.46821,52.5163
13152U,ST JOSEPHS N S,DERRYWASH,CASTLEBAR,CO MAYO,,Mayo,CATHOLIC,N,N,N,49,50,99,Mixed,112145,286600,-9.33421,53.8215
16984L,S N NAOMH SHEOSAMH,SHRULE,VIA GALWAY,CO MAYO,,Mayo,CATHOLIC,N,N,N,62,37,99,Mixed,127666,253256,-9.09079,53.5243
20387P,Scoil Mhuire Agus Chormaic,Kilcormac,Co Offaly,,,Offaly,CATHOLIC,N,Y,N,45,54,99,Mixed,218413.44,213810.81,-7.7246,53.1745
